id,client_id,label,slot_time,duration_mins,taken_by,booked_at,slot_type,offered_via_channel_id,booked_via_channel_id,communication_id,expires_at,created_at
1,1,Monday 10am,2026-03-31 05:18:16.565959,30,,,interview,4,,,,2026-03-29 05:18:16.565959
2,1,Tuesday 2pm,2026-04-01 05:18:16.565959,30,,,interview,4,,,,2026-03-29 05:18:16.565959
3,1,Wednesday 11am,2026-04-02 05:18:16.565959,30,,,interview,4,,,,2026-03-29 05:18:16.565959
4,1,Monday 10am,2026-03-31 05:18:16.565959,30,,,call,2,,,,2026-03-29 05:18:16.565959
5,1,Tuesday 2pm,2026-04-01 05:18:16.565959,30,,,call,2,,,,2026-03-29 05:18:16.565959
6,1,Wednesday 11am,2026-04-02 05:18:16.565959,30,,,call,2,,,,2026-03-29 05:18:16.565959
7,1,Monday 10am,2026-03-31 05:18:16.565959,30,,,meeting,5,,,,2026-03-29 05:18:16.565959
8,1,Tuesday 2pm,2026-04-01 05:18:16.565959,30,,,meeting,5,,,,2026-03-29 05:18:16.565959
9,1,Wednesday 11am,2026-04-02 05:18:16.565959,30,,,meeting,5,,,,2026-03-29 05:18:16.565959
10,2,Monday 10am,2026-03-31 05:18:16.565959,30,7,2026-03-30 11:23:15.843,interview,,4,29,,2026-03-29 05:18:16.565959
11,2,Tuesday 2pm,2026-04-01 05:18:16.565959,30,,,interview,,,,,2026-03-29 05:18:16.565959
12,2,Wednesday 11am,2026-04-02 05:18:16.565959,30,,,interview,,,,,2026-03-29 05:18:16.565959
